"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2023","84.60","80.50","86.00","80.40","2.53M","5.09%"
"07/14/2023","80.50","80.00","81.00","79.00","302.12K","1.90%"
"07/13/2023","79.00","81.00","81.00","78.00","874.79K","-1.86%"
"07/12/2023","80.50","77.40","80.90","77.40","1.16M","3.87%"
"07/11/2023","77.50","78.70","78.70","77.50","170.85K","-0.64%"
"07/10/2023","78.00","79.50","79.80","78.00","217.19K","-1.89%"
"07/07/2023","79.50","79.50","80.00","78.10","395.79K","-0.50%"
"07/06/2023","79.90","81.30","81.50","78.00","604.13K","-1.36%"
"07/05/2023","81.00","83.00","83.00","80.10","4.74M","0.12%"
"07/04/2023","80.90","75.50","81.70","75.50","7.95M","19.85%"
"06/28/2023","67.50","67.50","69.50","66.00","616.58K","0.00%"
"06/27/2023","67.50","68.50","69.00","67.10","369.89K","-2.88%"
"06/26/2023","69.50","66.00","69.90","63.10","1.16M","5.30%"
"06/23/2023","66.00","66.00","67.80","66.00","458.08K","-0.15%"
"06/22/2023","66.10","66.40","67.00","66.00","187.84K","-0.30%"
"06/21/2023","66.30","64.90","66.50","64.10","1.30M","2.16%"
"06/20/2023","64.90","64.00","65.00","63.50","112.61K","0.46%"
"06/19/2023","64.60","64.00","65.00","64.00","197.23K","-1.22%"
"06/16/2023","65.40","66.00","67.80","65.00","104.66K","-0.91%"
"06/15/2023","66.00","67.00","67.00","64.00","519.90K","-1.49%"
"06/14/2023","67.00","61.10","67.00","61.00","165.04K","9.84%"
"06/13/2023","61.00","61.80","61.90","60.30","73.48K","-1.29%"
"06/12/2023","61.80","59.10","61.90","59.10","93.11K","6.37%"
"06/09/2023","58.10","58.10","60.30","58.10","95.85K","-0.68%"
"06/08/2023","58.50","57.20","59.00","57.20","13.04K","2.09%"
"06/07/2023","57.30","58.10","58.60","56.70","5.10K","-0.35%"
"06/06/2023","57.50","58.00","58.10","57.30","219.53K","-1.03%"
"06/05/2023","58.10","58.80","59.00","57.00","27.75K","-1.19%"
"06/02/2023","58.80","57.30","59.00","57.30","51.20K","3.16%"
"06/01/2023","57.00","56.70","58.70","56.70","83.04K","0.53%"
"05/31/2023","56.70","58.00","58.00","56.60","4.44K","-0.35%"
"05/30/2023","56.90","57.30","57.30","56.60","14.36K","-0.70%"
"05/29/2023","57.30","59.00","59.00","57.00","27.59K","-3.70%"
"05/26/2023","59.50","56.20","59.50","56.00","90.92K","1.88%"
"05/25/2023","58.40","58.50","58.50","57.00","149.25K","-0.68%"
"05/24/2023","58.80","55.50","58.90","55.50","174.05K","1.38%"
"05/23/2023","58.00","57.00","58.00","55.00","124.02K","5.45%"
"05/22/2023","55.00","57.00","57.00","55.00","278.30K","-2.65%"
"05/19/2023","56.50","57.00","57.00","55.20","234.67K","-2.59%"
"05/18/2023","58.00","57.60","58.00","56.50","276.17K","0.87%"
"05/17/2023","57.50","58.00","58.40","56.10","317.00K","-1.03%"
"05/16/2023","58.10","58.00","59.00","57.00","1.39M","-1.53%"
"05/15/2023","59.00","58.40","59.90","58.00","244.46K","-1.67%"
"05/12/2023","60.00","60.20","60.20","59.00","194.82K","-0.33%"
"05/11/2023","60.20","57.50","61.60","56.00","391.61K","5.06%"
"05/10/2023","57.30","57.00","57.30","56.00","17.84K","-0.17%"
"05/09/2023","57.40","57.00","58.00","56.60","108.62K","-0.69%"
"05/08/2023","57.80","53.80","57.80","53.80","70.48K","7.04%"
"05/04/2023","54.00","53.00","56.00","53.00","117.57K","0.19%"
"05/03/2023","53.90","54.00","54.20","52.10","32.46K","0.75%"
"05/02/2023","53.50","56.00","56.10","53.50","122.31K","-5.48%"
"04/28/2023","56.60","57.00","57.00","56.50","80.22K","-0.70%"
"04/27/2023","57.00","58.00","58.00","56.70","32.34K","-2.56%"
"04/26/2023","58.50","57.80","58.90","57.60","136.03K","-0.51%"
"04/25/2023","58.80","58.00","59.40","57.80","66.47K","1.38%"
"04/24/2023","58.00","60.00","60.00","58.00","69.08K","-3.49%"
"04/21/2023","60.10","60.10","60.40","59.00","201.43K","0.00%"
"04/20/2023","60.10","60.00","60.50","60.00","100.91K","-0.17%"
"04/19/2023","60.20","61.00","61.00","60.00","35.85K","-3.37%"
"04/18/2023","62.30","64.00","64.00","60.00","57.96K","-1.11%"
"04/17/2023","63.00","64.00","64.00","62.50","14.52K","0.00%"
"04/12/2023","63.00","63.50","64.00","62.00","37.02K","0.00%"
"04/11/2023","63.00","62.50","63.30","62.00","83.42K","0.80%"
"04/10/2023","62.50","62.00","63.80","60.50","7.98K","-0.48%"
"04/06/2023","62.80","62.00","63.00","60.50","57.39K","0.96%"
"04/04/2023","62.20","62.00","62.90","60.40","37.56K","-1.11%"
"04/03/2023","62.90","63.10","63.10","60.30","104.59K","-0.16%"
"03/31/2023","63.00","63.60","65.00","62.50","82.42K","1.53%"
"03/30/2023","62.05","63.65","63.65","61.86","40.56K","-2.67%"
"03/29/2023","63.75","62.33","63.75","61.67","49.93K","3.21%"
"03/28/2023","61.77","63.28","64.69","61.67","203.42K","-0.46%"
"03/27/2023","62.05","63.28","63.28","61.58","285.12K","-0.61%"
"03/24/2023","62.43","61.39","64.22","61.39","123.04K","1.69%"
"03/23/2023","61.39","63.28","63.28","60.44","848.77K","-2.99%"
"03/22/2023","63.28","64.69","65.07","63.28","13.19K","-1.47%"
"03/21/2023","64.22","66.11","66.11","64.22","46.22K","-2.86%"
"03/20/2023","66.11","65.92","67.53","64.69","194.61K","-0.57%"
"03/17/2023","66.49","63.28","67.05","63.28","401.96K","3.53%"
"03/16/2023","64.22","64.79","65.17","63.37","16.25K","1.49%"
"03/15/2023","63.28","62.33","65.17","62.33","173.60K","1.52%"
"03/14/2023","62.33","63.09","63.75","61.86","139.06K","-1.49%"
"03/13/2023","63.28","63.28","63.84","60.92","194.67K","-1.18%"
"03/10/2023","64.03","65.17","65.17","62.33","69.84K","-3.00%"
"03/09/2023","66.02","67.05","67.05","64.98","88.79K","-1.55%"
"03/08/2023","67.05","67.90","67.90","65.26","368.06K","1.28%"
"03/07/2023","66.20","66.11","67.43","65.35","750.02K","1.89%"
"03/03/2023","64.98","64.22","66.49","64.22","613.09K","2.69%"
"03/02/2023","63.28","62.24","63.28","61.29","2.37M","3.08%"
"03/01/2023","61.39","61.29","61.86","61.10","157.37K","0.00%"
"02/28/2023","61.39","61.39","62.33","61.29","366.22K","-1.96%"
"02/27/2023","62.62","65.07","65.07","59.97","371.72K","0.30%"
"02/24/2023","62.43","62.33","65.17","61.86","603.64K","0.92%"
"02/23/2023","61.86","60.44","62.33","60.35","144.29K","0.77%"
"02/22/2023","61.39","61.39","65.17","60.44","100.92K","-1.52%"
"02/21/2023","62.33","61.39","62.33","59.50","354.40K","1.23%"
"02/20/2023","61.58","59.22","66.11","59.22","340.99K","3.99%"
"02/17/2023","59.22","58.55","60.44","58.08","446.69K","2.79%"
"02/16/2023","57.61","55.72","58.55","54.78","36.96K","4.81%"
"02/15/2023","54.97","55.72","57.04","54.78","9.03K","-1.36%"
"02/14/2023","55.72","56.67","58.18","54.78","34.61K","-1.67%"
"02/13/2023","56.67","58.18","58.55","55.82","21.76K","-3.23%"
"02/10/2023","58.55","58.46","58.55","57.14","44.09K","0.16%"
"02/09/2023","58.46","57.70","58.55","56.67","35.07K","0.49%"
"02/08/2023","58.18","58.18","58.55","55.82","36.21K","-0.65%"
"02/07/2023","58.55","58.55","59.50","55.72","65.84K","0.00%"
"02/06/2023","58.55","61.29","61.39","56.67","108.97K","-4.32%"
"02/03/2023","61.20","58.55","61.39","58.55","259.76K","6.23%"
"02/02/2023","57.61","55.72","58.08","55.72","363.61K","1.16%"
"02/01/2023","56.95","53.64","57.14","53.27","176.74K","6.16%"
"01/31/2023","53.64","52.42","54.40","52.42","46.80K","1.79%"
"01/30/2023","52.70","51.00","53.64","51.00","35.25K","-2.96%"
"01/27/2023","54.30","52.79","54.49","51.94","106.17K","2.86%"
"01/26/2023","52.79","52.42","52.89","52.04","23.90K","1.64%"
"01/25/2023","51.94","52.89","53.36","51.94","26.14K","-1.79%"
"01/24/2023","52.89","54.40","54.40","52.04","83.29K","-2.95%"
"01/23/2023","54.49","49.77","57.61","49.77","266.22K","9.90%"
"01/20/2023","49.58","47.41","49.68","47.41","35.13K","4.58%"
"01/19/2023","47.41","47.41","48.17","47.32","66.39K","-0.59%"
"01/18/2023","47.69","48.64","48.73","47.41","41.04K","0.00%"
"01/17/2023","47.69","47.32","48.92","47.32","128.82K","0.80%"
"01/13/2023","47.32","47.60","47.69","47.32","26.15K","-1.76%"
"01/12/2023","48.17","47.69","49.02","47.69","20.20K","0.99%"
"01/11/2023","47.69","48.17","49.11","47.50","29.40K","-0.98%"
"01/10/2023","48.17","48.07","49.30","48.07","25.23K","0.59%"
"01/09/2023","47.88","48.17","49.02","47.60","20.72K","-0.59%"
"01/05/2023","48.17","48.64","48.64","47.69","33.34K","-1.16%"
"01/04/2023","48.73","49.58","49.58","48.64","26.81K","-0.77%"
"01/03/2023","49.11","47.98","49.20","47.98","23.19K","2.97%"
"01/02/2023","47.69","47.69","47.98","47.22","45.58K","-0.20%"
"12/30/2022","47.79","47.41","47.88","47.32","21.34K","0.60%"
"12/29/2022","47.50","47.32","47.50","47.22","19.12K","0.20%"
"12/28/2022","47.41","47.50","47.50","47.32","10.82K","-0.20%"
"12/27/2022","47.50","47.32","47.69","47.22","89.40K","-1.37%"
"12/23/2022","48.17","47.50","48.17","47.22","48.00K","1.39%"
"12/22/2022","47.50","47.60","47.69","47.22","40.03K","-0.20%"
"12/21/2022","47.60","48.17","48.17","47.22","21.12K","-0.98%"
"12/20/2022","48.07","47.41","48.17","47.32","24.80K","-0.20%"
"12/19/2022","48.17","49.11","49.11","47.69","18.26K","-0.20%"
"12/16/2022","48.26","48.26","48.64","48.26","20.51K","0.20%"
"12/15/2022","48.17","48.92","49.58","48.17","17.00K","-1.92%"
"12/14/2022","49.11","49.49","49.87","48.92","14.44K","-0.76%"
"12/13/2022","49.49","47.41","49.49","47.22","113.23K","3.97%"
"12/12/2022","47.60","49.02","49.02","47.22","38.01K","-0.20%"
"12/09/2022","47.69","48.92","48.92","47.22","50.80K","-0.79%"
"12/08/2022","48.07","48.17","48.64","47.22","99.83K","-0.20%"
"12/06/2022","48.17","49.20","49.20","47.22","41.66K","0.00%"
"12/05/2022","48.17","49.11","49.20","47.22","43.17K","0.00%"
"12/02/2022","48.17","47.41","48.64","47.22","193.18K","0.99%"
"12/01/2022","47.69","49.11","49.11","47.22","39.89K","-1.75%"
"11/30/2022","48.54","47.32","48.54","47.32","22.11K","2.59%"
"11/29/2022","47.32","47.50","48.17","47.22","8.47K","-0.20%"
"11/28/2022","47.41","47.98","47.98","47.22","31.26K","-0.59%"
"11/25/2022","47.69","48.17","48.17","47.22","50.87K","0.60%"
"11/24/2022","47.41","47.69","47.69","47.13","5.59K","-0.20%"
"11/23/2022","47.50","47.32","47.60","47.22","74.61K","0.60%"
"11/22/2022","47.22","47.22","47.60","47.22","90.97K","0.00%"
"11/21/2022","47.22","47.22","47.69","47.13","183.40K","0.00%"
"11/18/2022","47.22","48.17","48.26","47.22","197.29K","-3.85%"
"11/17/2022","49.11","47.22","49.11","47.22","69.11K","4.00%"
"11/16/2022","47.22","48.17","48.17","47.22","36.63K","-1.96%"
"11/15/2022","48.17","48.64","49.02","48.17","21.17K","0.00%"
"11/14/2022","48.17","48.07","48.54","47.41","46.82K","1.59%"
"11/11/2022","47.41","47.69","47.79","47.13","31.41K","0.20%"
"11/10/2022","47.32","46.75","47.98","46.28","1.36M","1.21%"
"11/09/2022","46.75","47.22","47.22","46.18","31.41K","1.23%"
"11/08/2022","46.18","47.32","47.32","45.99","70.80K","-2.20%"
"11/04/2022","47.22","47.69","47.69","47.03","10.51K","0.81%"
"11/03/2022","46.84","47.22","48.07","46.75","15.85K","-0.60%"
"11/02/2022","47.13","48.35","48.35","46.94","30.23K","-0.20%"
"11/01/2022","47.22","47.32","48.17","47.13","35.40K","0.00%"
"10/31/2022","47.22","47.69","47.69","47.22","39.17K","-0.99%"
"10/28/2022","47.69","47.69","48.17","47.22","26.99K","0.60%"
"10/27/2022","47.41","47.22","47.69","46.75","89.05K","0.40%"
"10/26/2022","47.22","47.32","47.41","47.03","47.65K","0.00%"
"10/25/2022","47.22","48.17","48.17","47.13","37.92K","-0.60%"
"10/21/2022","47.50","48.07","48.17","47.22","12.47K","-1.18%"
"10/20/2022","48.07","48.26","48.26","47.13","1.08M","1.80%"
"10/19/2022","47.22","48.17","48.64","47.22","30.22K","-1.77%"
"10/18/2022","48.07","48.54","48.64","47.13","69.27K","-0.97%"
"10/17/2022","48.54","48.64","48.64","47.41","121.67K","0.78%"
"10/14/2022","48.17","49.96","49.96","48.17","132.17K","-0.97%"
"10/13/2022","48.64","49.11","49.11","48.17","107.44K","0.59%"
"10/12/2022","48.35","48.26","48.35","47.69","474.59K","0.39%"
"10/11/2022","48.17","48.17","49.11","47.69","244.48K","0.00%"
"10/07/2022","48.17","48.07","48.64","47.69","79.79K","-1.35%"
"10/06/2022","48.83","50.05","50.05","48.17","286.84K","-3.72%"
"10/05/2022","50.72","50.53","50.90","48.73","97.86K","0.37%"
"10/04/2022","50.53","51.00","51.47","50.53","85.87K","-1.83%"
"10/03/2022","51.47","52.42","52.42","51.00","35.62K","-0.91%"
"09/30/2022","51.94","51.94","52.42","51.47","596.66K","-0.72%"
"09/29/2022","52.32","52.13","52.32","51.00","387.65K","0.18%"
"09/28/2022","52.23","51.94","52.42","50.05","169.83K","-0.18%"
"09/27/2022","52.32","50.05","52.32","49.02","120.99K","3.55%"
"09/26/2022","50.53","51.57","51.57","49.11","81.71K","-2.01%"
"09/23/2022","51.57","51.66","52.32","50.90","88.88K","0.18%"
"09/22/2022","51.47","51.66","51.66","51.00","60.45K","-0.91%"
"09/21/2022","51.94","52.51","52.51","51.00","41.19K","-0.54%"
"09/20/2022","52.23","53.83","53.83","51.94","113.86K","-2.64%"
"09/19/2022","53.64","54.78","54.78","52.89","210.41K","-0.35%"
"09/16/2022","53.83","55.72","55.72","52.89","155.61K","-0.87%"
"09/15/2022","54.30","52.89","56.57","52.89","286.56K","2.68%"
"09/14/2022","52.89","52.89","53.83","51.09","208.95K","1.82%"
"09/13/2022","51.94","49.58","51.94","49.49","111.13K","4.36%"
"09/12/2022","49.77","49.58","49.96","49.11","187.64K","0.57%"
"09/09/2022","49.49","49.58","49.58","48.64","349.46K","-0.57%"
"09/08/2022","49.77","49.11","49.87","49.11","91.76K","-0.19%"
"09/07/2022","49.87","48.92","50.05","48.17","268.90K","0.57%"
"09/06/2022","49.58","50.53","50.53","48.92","95.15K","-1.87%"
"09/05/2022","50.53","50.53","51.00","49.11","94.61K","1.71%"
"09/02/2022","49.68","51.00","51.00","49.68","29.11K","-2.41%"
"09/01/2022","50.90","50.05","51.00","48.92","109.36K","3.85%"
"08/31/2022","49.02","50.05","50.53","48.92","31.35K","-0.19%"
"08/30/2022","49.11","48.92","49.11","48.83","45.91K","0.39%"
"08/29/2022","48.92","50.05","50.05","48.92","59.71K","-2.08%"
"08/26/2022","49.96","49.11","49.96","48.64","59.82K","1.73%"
"08/25/2022","49.11","49.11","49.20","48.64","148.39K","0.00%"
"08/24/2022","49.11","49.58","50.05","49.11","23.87K","-1.14%"
"08/23/2022","49.68","50.05","50.05","49.11","383.98K","-0.75%"
"08/22/2022","50.05","49.02","50.05","48.64","101.17K","2.32%"
"08/19/2022","48.92","49.02","49.02","48.64","30.47K","-0.19%"
"08/18/2022","49.02","50.05","50.05","48.26","110.78K","-2.08%"
"08/17/2022","50.05","50.81","50.81","49.58","242.82K","-1.12%"
"08/16/2022","50.62","51.09","51.09","49.87","60.66K","-4.80%"
"08/15/2022","53.17","52.70","53.55","51.94","69.56K","2.36%"
"08/12/2022","51.94","51.94","52.70","51.47","74.32K","0.00%"
"08/10/2022","51.94","51.47","51.94","50.81","24.09K","2.23%"
"08/09/2022","50.81","50.53","51.47","50.05","632.40K","1.51%"
"08/08/2022","50.05","50.53","50.53","49.58","152.28K","0.00%"
"08/05/2022","50.05","49.58","50.53","49.58","158.36K","0.95%"
"08/04/2022","49.58","50.05","50.05","49.58","128.84K","0.00%"
"08/03/2022","49.58","50.05","50.05","49.58","30.97K","-0.38%"
"08/02/2022","49.77","50.15","50.15","49.20","46.71K","-0.57%"
"08/01/2022","50.05","49.20","50.62","49.20","42.09K","1.73%"
"07/29/2022","49.20","50.05","51.00","49.11","17.46K","-1.70%"
"07/28/2022","50.05","49.58","50.34","49.11","30.79K","1.92%"
"07/27/2022","49.11","50.53","50.53","49.11","71.31K","-1.89%"
"07/26/2022","50.05","50.05","51.47","49.11","121.70K","0.00%"
"07/25/2022","50.05","51.00","51.00","50.05","36.03K","-1.85%"
"07/22/2022","51.00","50.05","51.00","49.87","42.93K","0.37%"
"07/21/2022","50.81","51.94","54.78","50.81","21.20K","0.56%"
"07/20/2022","50.53","51.09","51.94","50.24","19.82K","-0.93%"
"07/19/2022","51.00","49.11","51.09","49.02","244.23K","3.85%"
"07/18/2022","49.11","48.83","49.11","48.83","43.71K","0.19%"
"07/15/2022","49.02","49.11","49.11","48.73","35.78K","0.97%"
"07/14/2022","48.54","48.83","48.83","48.54","15.39K","0.00%"
